"","AirportName","City","Country","Week","Percent.wk","Month","Percent.mo"
"263","Santiago International Airport","Santiago","Chile",13,22.5,3,38.4
"264","Santiago International Airport","Santiago","Chile",13,22.5,3,38.4
"265","Santiago International Airport","Santiago","Chile",26,26,6,26.8461538461538
"266","Santiago International Airport","Santiago","Chile",27,28.6666666666667,7,31.1071428571429
"267","Santiago International Airport","Santiago","Chile",18,22.75,4,19.5714285714286
"268","Santiago International Airport","Santiago","Chile",20,23,5,21.4444444444444
"269","Santiago International Airport","Santiago","Chile",21,19.8571428571429,5,21.4444444444444
"270","Santiago International Airport","Santiago","Chile",24,27.6,6,26.8461538461538
"271","Santiago International Airport","Santiago","Chile",42,47.1428571428571,10,47.8064516129032
"272","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"273","Santiago International Airport","Santiago","Chile",15,17.4285714285714,4,19.5714285714286
"274","Santiago International Airport","Santiago","Chile",31,34,7,31.1071428571429
"275","Santiago International Airport","Santiago","Chile",38,33.6666666666667,9,37.2068965517241
"276","Santiago International Airport","Santiago","Chile",47,49.2857142857143,11,52.5384615384615
"277","Santiago International Airport","Santiago","Chile",47,49.2857142857143,11,52.5384615384615
"278","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"279","Santiago International Airport","Santiago","Chile",22,22.6666666666667,5,21.4444444444444
"280","Santiago International Airport","Santiago","Chile",25,26.7142857142857,6,26.8461538461538
"281","Santiago International Airport","Santiago","Chile",28,32.6666666666667,7,31.1071428571429
"282","Santiago International Airport","Santiago","Chile",29,29.5714285714286,7,31.1071428571429
"283","Santiago International Airport","Santiago","Chile",36,34.1428571428571,9,37.2068965517241
"284","Santiago International Airport","Santiago","Chile",39,37.2857142857143,9,37.2068965517241
"285","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"286","Santiago International Airport","Santiago","Chile",14,23,4,19.5714285714286
"287","Santiago International Airport","Santiago","Chile",21,19.8571428571429,5,21.4444444444444
"288","Santiago International Airport","Santiago","Chile",15,17.4285714285714,4,19.5714285714286
"289","Santiago International Airport","Santiago","Chile",25,26.7142857142857,6,26.8461538461538
"290","Santiago International Airport","Santiago","Chile",13,22.5,3,38.4
"291","Santiago International Airport","Santiago","Chile",26,26,6,26.8461538461538
"292","Santiago International Airport","Santiago","Chile",46,58.3333333333333,11,52.5384615384615
"293","Santiago International Airport","Santiago","Chile",48,49,11,52.5384615384615
"294","Santiago International Airport","Santiago","Chile",20,23,5,21.4444444444444
"295","Santiago International Airport","Santiago","Chile",23,27.1666666666667,6,26.8461538461538
"296","Santiago International Airport","Santiago","Chile",24,27.6,6,26.8461538461538
"297","Santiago International Airport","Santiago","Chile",31,34,7,31.1071428571429
"298","Santiago International Airport","Santiago","Chile",41,43.4285714285714,10,47.8064516129032
